"dataset","family","method_label","backend","threads","runtime","runtime_q1","runtime_q3","peak_ram_gb","trust","preserve30","silhouette","label_accuracy"
"MNIST","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.973,0.96,0.9855,1.12820053100586,0.924496359083913,0.484453781512605,0.528186933176626,0.964985994397759
"MNIST","UMAP","fastEmbedR UMAP CPU","cpu",4,29.294,29.293,29.379,0.793121337890625,0.925359531173782,0.490756302521008,0.536702655301948,0.957983193277311
"MNIST","UMAP","uwot fast SGD","cpu",4,48.807,48.7955,49.1445,1.60727691650391,0.928754791834727,0.491269841269841,0.521006575643528,0.959383753501401
"MNIST","t-SNE","fastEmbedR t-SNE CUDA","cuda",1,1.911,1.899,1.9465,1.45043182373047,0.925154683195034,0.475116713352007,0.377748560880446,0.96078431372549
"MNIST","t-SNE","fastEmbedR t-SNE CPU","cpu",4,43.287,43.0625,43.65,1.74188995361328,0.923649266749633,0.477124183006536,0.357363449095772,0.952380952380952
"MNIST","t-SNE","FIt-SNE","cpu",4,88.693,88.295,88.7705,3.12731170654297,0.916664166872731,0.461297852474323,0.335344106781681,0.950980392156863
"MNIST","t-SNE","Rtsne","cpu",4,93.812,93.7865,94.4715,2.149658203125,0.902215087675205,0.449766573295985,0.23576301847193,0.946778711484594
"FashionMNIST","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.98,0.9795,0.984,1.15959167480469,0.963747582969512,0.574603174603175,0.153109517657419,0.745098039215686
"FashionMNIST","UMAP","fastEmbedR UMAP CPU","cpu",4,31.865,31.829,31.88,0.809238433837891,0.966264267404984,0.580438842203548,0.113335408628272,0.743697478991597
"FashionMNIST","UMAP","uwot fast SGD","cpu",4,46.739,46.713,46.746,1.40290451049805,0.943986238972193,0.543977591036415,0.202913583809772,0.719887955182073
"FashionMNIST","t-SNE","fastEmbedR t-SNE CUDA","cuda",1,1.93,1.924,1.978,1.45064926147461,0.964991669605614,0.555835667600374,0.126307003616959,0.736694677871149
"FashionMNIST","t-SNE","fastEmbedR t-SNE CPU","cpu",4,43.96,43.403,44.6105,1.74117660522461,0.962753205479008,0.553174603174603,0.121039979090181,0.736694677871149
"FashionMNIST","t-SNE","Rtsne","cpu",4,68.523,68.07,68.7755,2.63217926025391,0.921506335288578,0.508823529411765,0.118069203744204,0.73249299719888
"FashionMNIST","t-SNE","FIt-SNE","cpu",4,80.747,80.2775,83.2065,2.92137908935547,0.930558156692489,0.517413632119515,0.126919929643289,0.733893557422969
"TabulaMuris","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.811,0.807,0.8255,0.774383544921875,0.963813775080088,0.611316666666667,-0.0727133972419887,0.81
"TabulaMuris","UMAP","fastEmbedR UMAP CPU","cpu",4,20.359,20.2555,20.4665,0.711196899414062,0.971569229472264,0.6168,-0.0445743312749609,0.814
"TabulaMuris","UMAP","uwot fast SGD","cpu",4,44.451,43.977,45.0665,0.885234832763672,0.981428022255943,0.638783333333333,0.0601862051973078,0.8275
"TabulaMuris","t-SNE","fastEmbedR t-SNE CUDA","cuda",1,3.053,3.047,3.1055,0.820106506347656,0.98299908952959,0.631916666666667,0.018362091701311,0.843
"TabulaMuris","t-SNE","fastEmbedR t-SNE CPU","cpu",4,30.216,30.039,30.4805,0.699321746826172,0.97680944191536,0.61795,-0.0180952087122255,0.84
"TabulaMuris","t-SNE","FIt-SNE","cpu",4,45.899,45.8675,47.568,0.697254180908203,0.977028662957343,0.609283333333333,-0.0101429946628614,0.8385
"TabulaMuris","t-SNE","Rtsne","cpu",4,77.824,77.1905,78.406,0.564971923828125,0.936593795312763,0.568533333333333,-0.115758217431121,0.8135
"Macosko2015_retina","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.611,0.607,0.634,0.941432952880859,0.91506051256112,0.40275,0.380603187927349,0.962
"Macosko2015_retina","UMAP","fastEmbedR UMAP CPU","cpu",4,10.07,10.0505,10.084,0.528812408447266,0.917130972854493,0.408066666666667,0.390940925766658,0.966
"Macosko2015_retina","UMAP","uwot fast SGD","cpu",4,12.583,12.498,12.599,0.731285095214844,0.917688349350868,0.40915,0.46162038409712,0.959
"Macosko2015_retina","t-SNE","fastEmbedR t-SNE CUDA","cuda",1,0.905,0.8935,0.95,0.986907958984375,0.923888872028326,0.42575,0.0786187155395391,0.9645
"Macosko2015_retina","t-SNE","fastEmbedR t-SNE CPU","cpu",4,11.695,11.3525,11.727,0.605396270751953,0.925181301635475,0.418516666666667,-0.0106501767444388,0.9675
"Macosko2015_retina","t-SNE","FIt-SNE","cpu",4,21.806,21.8025,21.8395,0.585304260253906,0.92447376496375,0.410566666666667,0.0253299828301987,0.9675
"Macosko2015_retina","t-SNE","Rtsne","cpu",4,34.887,34.6195,35.0625,0.546363830566406,0.92017403473276,0.414216666666667,-0.118127880161425,0.9665
"flow18","UMAP","fastEmbedR UMAP CUDA","cuda",1,1.763,1.7575,1.7765,0.897789001464844,0.964708430281571,0.423066666666667,0.396754670167413,0.9505
"flow18","UMAP","fastEmbedR UMAP CPU","cpu",4,221.333,220.2215,221.7285,3.67369842529297,0.963802427921093,0.430266666666667,0.459111331352957,0.954
"flow18","UMAP","uwot fast SGD","cpu",4,689.098,688.1915,690.1035,6.57584762573242,0.967804232001349,0.429433333333333,0.404394057162836,0.9545
"flow18","t-SNE","fastEmbedR t-SNE CUDA","cuda",1,5.389,5.3865,5.4735,0.947219848632812,0.976991991232507,0.442433333333333,0.0728508090192305,0.955
"flow18","t-SNE","fastEmbedR t-SNE CPU","cpu",4,178.629,177.8185,178.9035,1.94490432739258,0.975126740853145,0.4387,0.0538105049024427,0.955
"flow18","t-SNE","FIt-SNE","cpu",4,397.095,388.8085,397.199,3.33071517944336,0.974468740515933,0.436033333333333,0.0497212852703548,0.953
"flow18","t-SNE","Rtsne","cpu",4,1584.667,1544.2785,1613.29,3.2694206237793,0.770290052267746,0.231316666666667,-0.13583119601786,0.7585
"mass41","UMAP","fastEmbedR UMAP CUDA","cuda",1,2.093,2.089,2.099,0.896839141845703,0.970076310908784,0.406116666666667,0.284663769538077,0.9025
"mass41","UMAP","fastEmbedR UMAP CPU","cpu",4,214.018,213.9825,214.781,3.78675842285156,0.971099881976058,0.411016666666667,0.319950295235557,0.904
"mass41","UMAP","uwot fast SGD","cpu",4,347.603,346.8565,348.8995,6.00962829589844,0.971209492497049,0.411133333333333,0.317990528454121,0.896
"mass41","t-SNE","fastEmbedR t-SNE CUDA","cuda",1,5.685,5.683,5.746,0.947830200195312,0.975061996290676,0.415583333333333,0.224885883354247,0.8885
"mass41","t-SNE","fastEmbedR t-SNE CPU","cpu",4,165.397,163.815,165.994,1.94643402099609,0.973045624683864,0.409116666666667,0.211441243569074,0.879
"mass41","t-SNE","FIt-SNE","cpu",4,330.166,329.9535,331.3715,3.48077011108398,0.970281891755185,0.3981,0.191875033837874,0.8895
"mass41","t-SNE","Rtsne","cpu",4,1604.383,1568.18,1692.575,3.40454483032227,0.868197706963413,0.283833333333333,0.0855822786046271,0.7825
"FlowRepository_FR-FCM-ZYRM_files","UMAP","fastEmbedR UMAP CUDA","cuda",1,77.134,76.8915,77.1715,1.88662338256836,0.968620367560276,0.443816666666667,-0.219859026982944,0.47
"FlowRepository_FR-FCM-ZYRM_files","t-SNE","fastEmbedR t-SNE CUDA","cuda",1,90.707,90.587,90.962,2.60370635986328,0.973816270443433,0.444833333333333,-0.204968763837223,0.473
"FlowRepository_FR-FCM-ZYRM_files","t-SNE","fastEmbedR t-SNE CPU","cpu",4,1315.03,1312.935,1324.2305,8.83620834350586,0.971674186477828,0.44145,-0.208374598513598,0.4705
