"dataset","backend","graph_mode","knn_recall_at_k","affinity_edge_jaccard","affinity_weight_pearson","affinity_weight_spearman","affinity_weight_l1_similarity","umap_graph_edge_jaccard","umap_graph_weight_pearson","umap_graph_weight_spearman","umap_graph_weight_l1_similarity","validation_sample_n","suite","profile","source_file"
"COIL20","cpu","fuzzy",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,0.999959808105784,0.999989134409032,0.999826026079346,1440,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/landmark/cpu1/20260727_074814_1118079/knn_affinity_umap_graph_agreement.csv"
"COIL20","cpu","binary",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,-0.000481098998462159,,0.999500748876685,1440,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/landmark/cpu1/20260727_074814_1118079/knn_affinity_umap_graph_agreement.csv"
"COIL20","cpu","fuzzy",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,0.999959808105784,0.999989134409032,0.999826026079346,1440,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/landmark/cpu4/20260727_073523_1118090/knn_affinity_umap_graph_agreement.csv"
"COIL20","cpu","binary",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,-0.000481098998462159,,0.999500748876685,1440,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/landmark/cpu4/20260727_073523_1118090/knn_affinity_umap_graph_agreement.csv"
"COIL20","cuda","fuzzy",1,1,1,1,1,1,0.999999970682086,0.999984777448444,0.999962930418149,1440,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/landmark/cuda/20260727_093921_1118101/knn_affinity_umap_graph_agreement.csv"
"COIL20","cuda","binary",1,1,1,1,1,1,,,1,1440,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/landmark/cuda/20260727_093921_1118101/knn_affinity_umap_graph_agreement.csv"
"COIL20","cpu","fuzzy",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,0.999959808105784,0.999989134409032,0.999826026079346,1440,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu1/20260727_073247_1118043/knn_affinity_umap_graph_agreement.csv"
"COIL20","cpu","binary",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,-0.000481098998462159,,0.999500748876685,1440,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu1/20260727_073247_1118043/knn_affinity_umap_graph_agreement.csv"
"COIL20","cpu","fuzzy",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,0.999959808105784,0.999989134409032,0.999826026079346,1440,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/knn_affinity_umap_graph_agreement.csv"
"COIL20","cpu","binary",0.999675925925926,0.999037604705044,0.997998934534299,0.999928166237892,0.999675925925926,0.999037604705044,-0.000481098998462159,,0.999500748876685,1440,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/knn_affinity_umap_graph_agreement.csv"
