"dataset","method","family","backend","timing_scope","requested_threads","effective_threads","n","p","k","perplexity","input_type","landmark_fraction","n_runs","n_success","status","total_runtime_sec_median","total_runtime_sec_q1","total_runtime_sec_q3","total_runtime_sec_iqr","total_runtime_sec_sd","total_runtime_sec_min","total_runtime_sec_max","preprocess_sec_median","preprocess_sec_q1","preprocess_sec_q3","preprocess_sec_iqr","preprocess_sec_sd","preprocess_sec_min","preprocess_sec_max","knn_sec_median","knn_sec_q1","knn_sec_q3","knn_sec_iqr","knn_sec_sd","knn_sec_min","knn_sec_max","init_sec_median","init_sec_q1","init_sec_q3","init_sec_iqr","init_sec_sd","init_sec_min","init_sec_max","graph_or_affinity_sec_median","graph_or_affinity_sec_q1","graph_or_affinity_sec_q3","graph_or_affinity_sec_iqr","graph_or_affinity_sec_sd","graph_or_affinity_sec_min","graph_or_affinity_sec_max","embedding_sec_median","embedding_sec_q1","embedding_sec_q3","embedding_sec_iqr","embedding_sec_sd","embedding_sec_min","embedding_sec_max","peak_ram_gb_median","peak_ram_gb_q1","peak_ram_gb_q3","peak_ram_gb_iqr","peak_ram_gb_sd","peak_ram_gb_min","peak_ram_gb_max","peak_gpu_mb_median","peak_gpu_mb_q1","peak_gpu_mb_q3","peak_gpu_mb_iqr","peak_gpu_mb_sd","peak_gpu_mb_min","peak_gpu_mb_max","peak_gpu_delta_mb_median","peak_gpu_delta_mb_q1","peak_gpu_delta_mb_q3","peak_gpu_delta_mb_iqr","peak_gpu_delta_mb_sd","peak_gpu_delta_mb_min","peak_gpu_delta_mb_max","trustworthiness_median","trustworthiness_q1","trustworthiness_q3","trustworthiness_iqr","trustworthiness_sd","trustworthiness_min","trustworthiness_max","knn_preservation_15_median","knn_preservation_15_q1","knn_preservation_15_q3","knn_preservation_15_iqr","knn_preservation_15_sd","knn_preservation_15_min","knn_preservation_15_max","knn_preservation_30_median","knn_preservation_30_q1","knn_preservation_30_q3","knn_preservation_30_iqr","knn_preservation_30_sd","knn_preservation_30_min","knn_preservation_30_max","knn_preservation_50_median","knn_preservation_50_q1","knn_preservation_50_q3","knn_preservation_50_iqr","knn_preservation_50_sd","knn_preservation_50_min","knn_preservation_50_max","silhouette_median","silhouette_q1","silhouette_q3","silhouette_iqr","silhouette_sd","silhouette_min","silhouette_max","label_knn_accuracy_median","label_knn_accuracy_q1","label_knn_accuracy_q3","label_knn_accuracy_iqr","label_knn_accuracy_sd","label_knn_accuracy_min","label_knn_accuracy_max","tsne_kl_median","tsne_kl_q1","tsne_kl_q3","tsne_kl_iqr","tsne_kl_sd","tsne_kl_min","tsne_kl_max","n_landmarks_median","n_landmarks_q1","n_landmarks_q3","n_landmarks_iqr","n_landmarks_sd","n_landmarks_min","n_landmarks_max","reference_embedding_sec_median","reference_embedding_sec_q1","reference_embedding_sec_q3","reference_embedding_sec_iqr","reference_embedding_sec_sd","reference_embedding_sec_min","reference_embedding_sec_max","landmark_projection_knn_sec_median","landmark_projection_knn_sec_q1","landmark_projection_knn_sec_q3","landmark_projection_knn_sec_iqr","landmark_projection_knn_sec_sd","landmark_projection_knn_sec_min","landmark_projection_knn_sec_max","landmark_refinement_sec_median","landmark_refinement_sec_q1","landmark_refinement_sec_q3","landmark_refinement_sec_iqr","landmark_refinement_sec_sd","landmark_refinement_sec_min","landmark_refinement_sec_max","landmark_transform_sec_median","landmark_transform_sec_q1","landmark_transform_sec_q3","landmark_transform_sec_iqr","landmark_transform_sec_sd","landmark_transform_sec_min","landmark_transform_sec_max","kodama_core_sec_median","kodama_core_sec_q1","kodama_core_sec_q3","kodama_core_sec_iqr","kodama_core_sec_sd","kodama_core_sec_min","kodama_core_sec_max","kodama_visualization_sec_median","kodama_visualization_sec_q1","kodama_visualization_sec_q3","kodama_visualization_sec_iqr","kodama_visualization_sec_sd","kodama_visualization_sec_min","kodama_visualization_sec_max","kodama_core_peak_ram_gb_median","kodama_core_peak_ram_gb_q1","kodama_core_peak_ram_gb_q3","kodama_core_peak_ram_gb_iqr","kodama_core_peak_ram_gb_sd","kodama_core_peak_ram_gb_min","kodama_core_peak_ram_gb_max","kodama_visualization_peak_ram_gb_median","kodama_visualization_peak_ram_gb_q1","kodama_visualization_peak_ram_gb_q3","kodama_visualization_peak_ram_gb_iqr","kodama_visualization_peak_ram_gb_sd","kodama_visualization_peak_ram_gb_min","kodama_visualization_peak_ram_gb_max","kodama_core_peak_gpu_delta_mb_median","kodama_core_peak_gpu_delta_mb_q1","kodama_core_peak_gpu_delta_mb_q3","kodama_core_peak_gpu_delta_mb_iqr","kodama_core_peak_gpu_delta_mb_sd","kodama_core_peak_gpu_delta_mb_min","kodama_core_peak_gpu_delta_mb_max","kodama_visualization_peak_gpu_delta_mb_median","kodama_visualization_peak_gpu_delta_mb_q1","kodama_visualization_peak_gpu_delta_mb_q3","kodama_visualization_peak_gpu_delta_mb_iqr","kodama_visualization_peak_gpu_delta_mb_sd","kodama_visualization_peak_gpu_delta_mb_min","kodama_visualization_peak_gpu_delta_mb_max"
"COIL20","fastEmbedR_pca_cpu","PCA","cpu","pca_only",1,1,1440,16384,,,"float32",,3,3,"success",0.994,0.9315,1.0005,0.069,0.0761993000842746,0.869,1.007,,,,,,,,,,,,,,,0.994,0.9315,1.0005,0.069,0.0761993000842746,0.869,1.007,,,,,,,,,,,,,,,0.777191162109375,0.775848388671875,0.78485107421875,0.009002685546875,0.00971341481607498,0.774505615234375,0.792510986328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","fastEmbedR_pca_cpu","PCA","cpu","pca_only",4,4,1440,16384,,,"float32",,3,3,"success",0.894,0.881,0.972,0.091,0.0984344113272048,0.868,1.05,,,,,,,,,,,,,,,0.894,0.881,0.972,0.091,0.0984344113272048,0.868,1.05,,,,,,,,,,,,,,,0.771377563476562,0.752700805664062,0.778938293457031,0.0262374877929688,0.0270110062247537,0.734024047851562,0.7864990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","fastEmbedR_pca_metal","PCA","metal","pca_only",4,,1440,16384,,,"float32",,3,3,"success",0.146,0.1435,0.174,0.0305,0.0338673884437522,0.141,0.202,,,,,,,,,,,,,,,0.146,0.1435,0.174,0.0305,0.0338673884437522,0.141,0.202,,,,,,,,,,,,,,,0.283096313476562,0.282051086425781,0.285446166992188,0.00339508056640625,0.00347763168310173,0.281005859375,0.287796020507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","irlba_pca","PCA","cpu","pca_only",1,1,1440,16384,,,"standard_R_double",,3,3,"success",1.082,1.0765,1.109,0.0325,0.0347898452617043,1.071,1.136,,,,,,,,,,,,,,,1.082,1.0765,1.109,0.0325,0.0347898452617043,1.071,1.136,,,,,,,,,,,,,,,0.5499267578125,0.546646118164062,0.606559753417969,0.0599136352539062,0.0673681550738926,0.543365478515625,0.663192749023438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","irlba_pca","PCA","cpu","pca_only",4,4,1440,16384,,,"standard_R_double",,3,3,"success",1.058,1.0505,1.1175,0.0670000000000002,0.0734188894858356,1.043,1.177,,,,,,,,,,,,,,,1.058,1.0505,1.1175,0.0670000000000002,0.0734188894858356,1.043,1.177,,,,,,,,,,,,,,,0.671249389648438,0.600563049316406,0.677268981933594,0.0767059326171875,0.0853096098513634,0.529876708984375,0.68328857421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","fastEmbedR_umap_cpu_binary_full","UMAP","cpu","full_pipeline",1,1,1440,16384,30,,"float32",,3,3,"success",9.309,9.2785,9.38,0.1015,0.104158533015784,9.248,9.451,0.004,0.004,0.0045,5e-04,0.000577350269189626,0.004,0.005,5.039,5.0045,5.0525,0.048,0.0495075751779463,4.97,5.066,,,,,,,,,,,,,,,4.165,4.1635,4.199,0.0354999999999999,0.0401538707142078,4.162,4.233,0.394805908203125,0.354400634765625,0.396682739257812,0.0422821044921875,0.0477764584752452,0.313995361328125,0.3985595703125,,,,,,,,,,,,,,,0.877276524644946,0.874834522202943,0.878100700469121,0.00326617826617803,0.00339711271350195,0.872392519760941,0.878924876293297,0.519230769230769,0.518376068376069,0.528418803418804,0.010042735042735,0.0111357386502526,0.517521367521368,0.537606837606838,0.54551282051282,0.533119658119658,0.557264957264957,0.0241452991452991,0.0241481353753617,0.520726495726496,0.569017094017094,0.595384615384615,0.592692307692307,0.603782051282051,0.0110897435897436,0.0115685741918314,0.59,0.612179487179487,0.432755680984077,0.422226230511046,0.453226723436721,0.0310004929256745,0.0315273792969089,0.411696780038015,0.473697765889364,0.538461538461538,0.525641025641026,0.567307692307692,0.0416666666666665,0.042681590503073,0.512820512820513,0.596153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","fastEmbedR_umap_cpu_binary_full","UMAP","cpu","full_pipeline",4,4,1440,16384,30,,"float32",,3,3,"success",2.659,2.641,2.744,0.103,0.11002423975349,2.623,2.829,0.004,0.004,0.0045,5e-04,0.000577350269189626,0.004,0.005,2.215,2.2135,2.3125,0.0990000000000002,0.113459243783836,2.212,2.41,,,,,,,,,,,,,,,0.311,0.308,0.3265,0.0185,0.0198578280114753,0.305,0.342,0.37347412109375,0.347175598144531,0.388671875,0.0414962768554688,0.0419882922251051,0.320877075195312,0.40386962890625,,,,,,,,,,,,,,,0.805195681511471,0.794396247027826,0.80592346250241,0.011527215474584,0.0129108261273192,0.783596812544181,0.806651243493349,0.435042735042735,0.433760683760683,0.439957264957265,0.00619658119658151,0.00654185897618548,0.432478632478632,0.444871794871795,0.429700854700855,0.42809829059829,0.432264957264958,0.00416666666666698,0.00420348623352723,0.426495726495726,0.43482905982906,0.438461538461538,0.432115384615385,0.441602564102564,0.00948717948717953,0.0096659638367001,0.425769230769231,0.44474358974359,0.230695905499669,0.211385618849389,0.247129013719931,0.035743394870542,0.0357819739828713,0.192075332199109,0.263562121940193,0.384615384615385,0.346153846153846,0.461538461538462,0.115384615384615,0.117501940896303,0.307692307692308,0.538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","fastEmbedR_umap_cpu_binary_knn","UMAP","cpu","embedding_from_precomputed_knn",1,1,1440,16384,30,,"float32",,3,3,"success",4.309,4.259,4.3215,0.0625,0.0661437827766149,4.209,4.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.309,4.259,4.3215,0.0625,0.0661437827766149,4.209,4.334,0.300155639648438,0.298896789550781,0.30450439453125,0.00560760498046875,0.00588453375191457,0.297637939453125,0.308853149414062,,,,,,,,,,,,,,,0.877276524644946,0.874834522202943,0.878100700469121,0.00326617826617803,0.00339711271350195,0.872392519760941,0.878924876293297,0.519230769230769,0.518376068376069,0.528418803418804,0.010042735042735,0.0111357386502526,0.517521367521368,0.537606837606838,0.54551282051282,0.533119658119658,0.557264957264957,0.0241452991452991,0.0241481353753617,0.520726495726496,0.569017094017094,0.595384615384615,0.592692307692307,0.603782051282051,0.0110897435897436,0.0115685741918314,0.59,0.612179487179487,0.432755680984077,0.422226230511046,0.453226723436721,0.0310004929256745,0.0315273792969089,0.411696780038015,0.473697765889364,0.538461538461538,0.525641025641026,0.567307692307692,0.0416666666666665,0.042681590503073,0.512820512820513,0.596153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","fastEmbedR_umap_cpu_binary_knn","UMAP","cpu","embedding_from_precomputed_knn",4,4,1440,16384,30,,"float32",,3,3,"success",0.369,0.3605,0.3715,0.011,0.0115325625946708,0.352,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369,0.3605,0.3715,0.011,0.0115325625946708,0.352,0.374,0.297470092773438,0.294105529785156,0.305152893066406,0.01104736328125,0.0113251913865113,0.290740966796875,0.312835693359375,,,,,,,,,,,,,,,0.805195681511471,0.794396247027826,0.80592346250241,0.011527215474584,0.0129108261273192,0.783596812544181,0.806651243493349,0.435042735042735,0.433760683760683,0.439957264957265,0.00619658119658151,0.00654185897618548,0.432478632478632,0.444871794871795,0.429700854700855,0.42809829059829,0.432264957264958,0.00416666666666698,0.00420348623352723,0.426495726495726,0.43482905982906,0.438461538461538,0.432115384615385,0.441602564102564,0.00948717948717953,0.0096659638367001,0.425769230769231,0.44474358974359,0.230695905499669,0.211385618849389,0.247129013719931,0.035743394870542,0.0357819739828713,0.192075332199109,0.263562121940193,0.384615384615385,0.346153846153846,0.461538461538462,0.115384615384615,0.117501940896303,0.307692307692308,0.538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","full_pipeline",1,1,1440,16384,30,,"float32",,3,3,"success",5.792,5.77,5.8085,0.0385000000000009,0.0386307304271267,5.748,5.825,0.005,0.0045,0.005,5e-04,0.000577350269189626,0.004,0.005,4.845,4.84,4.868,0.0280000000000005,0.0298663690461362,4.835,4.891,,,,,,,,,,,,,,,0.826,0.82,0.8355,0.0155,0.0156311654502578,0.814,0.845,0.385421752929688,0.345947265625,0.398574829101562,0.0526275634765625,0.0547777266062932,0.306472778320312,0.411727905273438,,,,,,,,,,,,,,,0.863733050575156,0.851924683503631,0.865538847117794,0.0136141636141635,0.0147883712189115,0.840116316432106,0.867344643660433,0.517521367521368,0.503418803418804,0.520512820512821,0.0170940170940175,0.0182580854359117,0.489316239316239,0.523504273504274,0.489529914529915,0.480662393162394,0.495726495726496,0.0150641025641025,0.015142825359249,0.471794871794872,0.501923076923077,0.507820512820513,0.503205128205129,0.525705128205128,0.0225,0.0237684839315083,0.498589743589744,0.543589743589744,0.534642109287752,0.528717950092293,0.544269173607368,0.0155512235150755,0.015697485624626,0.522793790896834,0.553896237926985,0.615384615384615,0.599358974358974,0.615384615384615,0.016025641025641,0.0185048163201802,0.583333333333333,0.615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
