"algorithm","implementation_a","backend_a","implementation_b","backend_b","seeds","procrustes_rmsd_median","procrustes_correlation_median","embedding_neighbor_agreement_15_median"
"UMAP","fastEmbedR","cpu","fastEmbedR","cuda",3,0.00233323332814393,0.994556022236438,0.7298
"UMAP","fastEmbedR","cpu","fastEmbedR","metal",3,0.00656405533720738,0.956913177530079,0.684233333333333
"UMAP","fastEmbedR","cpu","uwot fast_sgd","reference_cpu",3,0.00243496803705936,0.994070930658501,0.706133333333333
"UMAP","fastEmbedR","cuda","fastEmbedR","metal",3,0.00302601444258592,0.990843236593263,0.697933333333333
"UMAP","fastEmbedR","cuda","uwot fast_sgd","reference_cpu",3,0.00273095640752352,0.992541877100204,0.7121
"UMAP","fastEmbedR","metal","uwot fast_sgd","reference_cpu",3,0.00266800865668935,0.992881729807832,0.699766666666667
"t-SNE","fastEmbedR","cpu","Python openTSNE","python_cpu",3,0.0131678690145231,0.826607225616368,0.610666666666667
"t-SNE","fastEmbedR","cpu","fastEmbedR","cuda",3,0.0167728914847745,0.718670111239979,0.577933333333333
"t-SNE","fastEmbedR","cpu","fastEmbedR","metal",3,0.0192407862152024,0.629792145820877,0.567466666666667
"t-SNE","fastEmbedR","cuda","Python openTSNE","python_cpu",3,0.0159657963606324,0.745093346570815,0.722666666666667
"t-SNE","fastEmbedR","cuda","fastEmbedR","metal",3,0.0180355033252225,0.674720619805888,0.595066666666667
"t-SNE","fastEmbedR","metal","Python openTSNE","python_cpu",3,0.019105874965896,0.634965541787549,0.592366666666667
