"dataset","method","backend","profile","timing_scope","runtime_measure","n_runs","runtime_sec_median","runtime_sec_q1","runtime_sec_q3","r_mediated_total_call_sec_median","r_mediated_total_call_sec_q1","r_mediated_total_call_sec_q3","direct_python_fit_sec_median","direct_python_fit_sec_q1","direct_python_fit_sec_q3","direct_python_process_total_sec_median","direct_python_process_total_sec_q1","direct_python_process_total_sec_q3","trustworthiness_median","nn_preservation_median","silhouette_median","label_accuracy_median"
"COIL20","python_opentsne_fft","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,48.622,48.247,51.8855,48.622,48.247,51.8855,,,,,,,0.982876185995452,0.738171296296296,0.423443953116226,0.911111111111111
"FashionMNIST","python_opentsne_fft","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,224.514,219.848,231.4635,224.514,219.848,231.4635,,,,,,,0.961271981487702,0.424233333333333,0.12194595111857,0.795666666666667
"MNIST","python_opentsne_fft","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,255.864,247.836,260.7805,255.864,247.836,260.7805,,,,,,,0.95902389430075,0.408155555555556,0.348632382050818,0.967
"Macosko2015_retina","python_opentsne_fft","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,101.381,99.994,102.37,101.381,99.994,102.37,,,,,,,0.93545321539208,0.3935,0.129083404193339,0.973333333333333
"MetRef","python_opentsne_fft","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,16.063,15.5925,18.48,16.063,15.5925,18.48,,,,,,,0.872889248253712,0.411798396334479,0.0406110633069737,0.72737686139748
"TabulaMuris","python_opentsne_fft","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,161.873,153.9475,164.863,161.873,153.9475,164.863,,,,,,,0.986255342813421,0.617677777777778,-0.0298359964435511,0.858333333333333
"USPS","python_opentsne_fft","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,64.396,63.0045,64.9005,64.396,63.0045,64.9005,,,,,,,0.966588489530848,0.441755555555556,0.181496364597705,0.742666666666667
"COIL20","python_opentsne_fft_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,43.9867194304243,43.0963071035222,46.2868155576289,,,,43.9867194304243,43.0963071035222,46.2868155576289,45.183,44.2835,47.534,0.982876185995452,0.738171296296296,0.423443952745551,0.911111111111111
"FashionMNIST","python_opentsne_fft_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,211.274181887507,210.358825432137,222.621528750286,,,,211.274181887507,210.358825432137,222.621528750286,212.936,212.024,224.3255,0.961271981487702,0.424233333333333,0.121945951014412,0.795666666666667
"MNIST","python_opentsne_fft_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,233.681618916802,231.560543170199,247.337231875863,,,,233.681618916802,231.560543170199,247.337231875863,234.757,232.6255,248.439,0.95902389430075,0.408155555555556,0.348632382129469,0.967
"Macosko2015_retina","python_opentsne_fft_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,94.7841591434553,91.2448599739,95.3610755465924,,,,94.7841591434553,91.2448599739,95.3610755465924,95.5,91.944,96.086,0.93545321539208,0.3935,0.129083406591676,0.973333333333333
"MetRef","python_opentsne_fft_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,12.9678876427934,12.4912197762169,13.2640635827557,,,,12.9678876427934,12.4912197762169,13.2640635827557,13.539,13.078,13.8325,0.872889248253712,0.411798396334479,0.0406110627049813,0.72737686139748
"TabulaMuris","python_opentsne_fft_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,149.076947737485,145.900938552804,155.458193932194,,,,149.076947737485,145.900938552804,155.458193932194,149.955,146.7665,156.348,0.986255342813421,0.617677777777778,-0.0298359954868798,0.858333333333333
"USPS","python_opentsne_fft_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,57.6586806597188,57.2077232324518,58.8505132081918,,,,57.6586806597188,57.2077232324518,58.8505132081918,58.3,57.8435,59.496,0.966588489530848,0.441755555555556,0.181496364879163,0.742666666666667
"COIL20","python_umap_learn","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,19.906,19.4395,20.8565,19.906,19.4395,20.8565,,,,,,,0.983754998823806,0.734953703703704,0.471931690402941,0.820833333333333
"FashionMNIST","python_umap_learn","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,73.755,73.4325,78.5475,73.755,73.4325,78.5475,,,,,,,0.955051767252641,0.417122222222222,0.203744984672119,0.768
"MNIST","python_umap_learn","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,70.775,68.8605,74.679,70.775,68.8605,74.679,,,,,,,0.949753599820849,0.423422222222222,0.516297366369848,0.965666666666667
"Macosko2015_retina","python_umap_learn","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,53.987,52.348,54.7795,53.987,52.348,54.7795,,,,,,,0.928278214459,0.386811111111111,0.286814656439665,0.973333333333333
"MetRef","python_umap_learn","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,12.796,12.669,12.8655,12.796,12.669,12.8655,,,,,,,0.853037755766682,0.412142038946163,0.144821560304734,0.720504009163803
"TabulaMuris","python_umap_learn","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,113.119,113.08,118.6705,113.119,113.08,118.6705,,,,,,,0.991420244093607,0.652355555555556,0.0596138290020064,0.849333333333333
"USPS","python_umap_learn","cpu","cpu1","r_mediated_total_call","r_mediated_total_call_sec",3,24.669,24.4345,24.894,24.669,24.4345,24.894,,,,,,,0.920026790579629,0.364777777777778,0.0990329148369315,0.725333333333333
"COIL20","python_umap_learn_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,18.6794248446822,17.7680282592774,19.1267514824867,,,,18.6794248446822,17.7680282592774,19.1267514824867,19.861,18.884,20.3275,0.983754998823806,0.734953703703704,0.471931690402941,0.820833333333333
"FashionMNIST","python_umap_learn_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,72.6529015488923,71.0362955257297,76.5812152945437,,,,72.6529015488923,71.0362955257297,76.5812152945437,74.339,72.6815,78.352,0.955051767252641,0.417122222222222,0.203744984672119,0.768
"MNIST","python_umap_learn_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,69.2109111566097,67.4855951126665,72.7241195817478,,,,69.2109111566097,67.4855951126665,72.7241195817478,70.543,68.79,74.091,0.949753599820849,0.423422222222222,0.516297366369848,0.965666666666667
"Macosko2015_retina","python_umap_learn_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,54.6865378031507,52.1554624163546,56.6314081475139,,,,54.6865378031507,52.1554624163546,56.6314081475139,55.723,53.1495,57.6195,0.928278214459,0.386811111111111,0.286814656439665,0.973333333333333
"MetRef","python_umap_learn_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,11.1250476166606,11.0696724164299,11.1874049035832,,,,11.1250476166606,11.0696724164299,11.1874049035832,11.807,11.7515,11.885,0.853037755766682,0.412142038946163,0.144821560304734,0.720504009163803
"TabulaMuris","python_umap_learn_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,110.506315860897,110.180238960777,116.059978553094,,,,110.506315860897,110.180238960777,116.059978553094,111.597,111.247,117.16,0.991420244093607,0.652355555555556,0.0596138290020064,0.849333333333333
"USPS","python_umap_learn_direct","cpu","cpu1","direct_python_fit","direct_python_fit_sec",3,23.3548245886341,23.1986952186562,23.4166194102727,,,,23.3548245886341,23.1986952186562,23.4166194102727,24.29,24.101,24.359,0.920026790579629,0.364777777777778,0.0990329148369315,0.725333333333333
"COIL20","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,36.631,35.3375,38.602,36.631,35.3375,38.602,,,,,,,0.98163157688387,0.733078703703704,0.410865024930904,0.892361111111111
"FashionMNIST","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,120.127,119.67,121.907,120.127,119.67,121.907,,,,,,,0.96072138245064,0.423788888888889,0.123075323068459,0.793
"MNIST","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,156.313,156.0345,157.226,156.313,156.0345,157.226,,,,,,,0.958728287239204,0.408244444444444,0.349602737646241,0.968666666666667
"Macosko2015_retina","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,75.343,72.79,78.1375,75.343,72.79,78.1375,,,,,,,0.934777785242414,0.394133333333333,0.12555529929577,0.973666666666667
"MetRef","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,18.305,18.0775,22.2015,18.305,18.0775,22.2015,,,,,,,0.872424859061609,0.412065673921344,0.040806553957966,0.728522336769759
"TabulaMuris","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,94.445,92.86,97.795,94.445,92.86,97.795,,,,,,,0.985790975254731,0.617622222222222,-0.0288980710457404,0.859333333333333
"USPS","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",2,47.8005,47.11975,48.48125,47.8005,47.11975,48.48125,,,,,,,0.965957492628672,0.443077777777778,0.185661496941341,0.736166666666667
"flow18","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,622.765,594.62,640.053,622.765,594.62,640.053,,,,,,,0.977624469077744,0.400922222222222,0.0692979146450861,0.954666666666667
"mass41","python_opentsne_fft","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,576.581,533.587,605.0825,576.581,533.587,605.0825,,,,,,,0.974051140223193,0.354188888888889,0.178568798570067,0.877333333333333
"COIL20","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,30.9538748310879,30.3245661696419,32.018502243096,,,,30.9538748310879,30.3245661696419,32.018502243096,32.444,31.684,33.398,0.98163157688387,0.733078703703704,0.410865023508728,0.892361111111111
"FashionMNIST","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,109.011737803929,108.550643150462,111.20113939885,,,,109.011737803929,108.550643150462,111.20113939885,110.682,110.1945,112.883,0.96072138245064,0.423788888888889,0.123075323130492,0.793
"MNIST","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,149.059720859863,147.878489239957,150.988541688421,,,,149.059720859863,147.878489239957,150.988541688421,150.551,149.292,152.514,0.958728287239204,0.408244444444444,0.349602738008422,0.968666666666667
"Macosko2015_retina","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,65.9533350327983,64.160100797424,67.6423673573881,,,,65.9533350327983,64.160100797424,67.6423673573881,66.733,64.935,68.3705,0.934777785242414,0.394133333333333,0.125555299566036,0.973666666666667
"MetRef","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,15.593038574094,14.6339892125688,15.6910352250562,,,,15.593038574094,14.6339892125688,15.6910352250562,16.364,15.41,16.4515,0.872424859061609,0.412065673921344,0.0408065546449177,0.728522336769759
"TabulaMuris","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,87.8777839019895,87.6628818300087,89.9889848229941,,,,87.8777839019895,87.6628818300087,89.9889848229941,88.531,88.313,90.683,0.985790975254731,0.617622222222222,-0.0288980723433135,0.859333333333333
"USPS","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,44.5203884639777,43.9677056154469,44.5263945724582,,,,44.5203884639777,43.9677056154469,44.5263945724582,44.928,44.3795,45.2125,0.965922539469264,0.439955555555556,0.182849632500419,0.735
"flow18","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,610.252521623857,604.671843291027,618.028243823908,,,,610.252521623857,604.671843291027,618.028243823908,612.617,607.099,620.263,0.977624469077744,0.400911111111111,0.0692979153791194,0.954666666666667
"mass41","python_opentsne_fft_direct","cpu","cpu4","direct_python_fit","direct_python_fit_sec",3,572.086173487362,555.876685773022,588.16974529135,,,,572.086173487362,555.876685773022,588.16974529135,574.612,558.2695,590.504,0.974051140223193,0.354188888888889,0.178568798846049,0.877333333333333
"COIL20","python_umap_learn","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,20.974,20.8005,21.005,20.974,20.8005,21.005,,,,,,,0.983754998823806,0.734953703703704,0.471931690402941,0.820833333333333
"FashionMNIST","python_umap_learn","cpu","cpu4","r_mediated_total_call","r_mediated_total_call_sec",3,79.73,77.004,80.1735,79.73,77.004,80.1735,,,,,,,0.955274288060314,0.417622222222222,0.203744984672119,0.768
