"dataset","reference","status","edge_jaccard","weight_pearson","weight_spearman","weight_l1_similarity","validation_sample_n","error","suite","profile","source_file"
"COIL20","Python openTSNE exact affinity","success",1,0.999999955513668,0.863173238233679,0.999960678882887,1440,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu1/20260727_073247_1118043/tsne_affinity_agreement_vs_python_opentsne.csv"
"COIL20","Python openTSNE exact affinity","success",1,0.999999955513668,0.863173238233679,0.999960678882887,1440,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/tsne_affinity_agreement_vs_python_opentsne.csv"
"COIL20","Python openTSNE exact affinity","success",1,0.999999955513668,0.863173238233679,0.999960678882887,1440,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cuda/20260727_073247_1118065/tsne_affinity_agreement_vs_python_opentsne.csv"
"FashionMNIST","Python openTSNE exact affinity","success",1,0.999999962871636,0.834999618552442,0.999962048722001,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu1/20260727_073247_1118044/tsne_affinity_agreement_vs_python_opentsne.csv"
"FashionMNIST","Python openTSNE exact affinity","success",1,0.999999962871636,0.834999618552442,0.999962048722001,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/tsne_affinity_agreement_vs_python_opentsne.csv"
"FashionMNIST","Python openTSNE exact affinity","success",1,0.999999962871636,0.834999618552442,0.999962048722001,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cuda/20260727_073247_1118066/tsne_affinity_agreement_vs_python_opentsne.csv"
"FlowRepository_FR-FCM-ZYRM_files","Python openTSNE exact affinity","success",1,0.999966203347147,0.998286928754553,0.998846681756493,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260727_073247_1118068/tsne_affinity_agreement_vs_python_opentsne.csv"
"MNIST","Python openTSNE exact affinity","success",1,0.999999961669134,0.85203945506073,0.999961905957052,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu1/20260727_073247_1118051/tsne_affinity_agreement_vs_python_opentsne.csv"
"MNIST","Python openTSNE exact affinity","success",1,0.999999961669134,0.85203945506073,0.999961905957052,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260727_073247_1118062/tsne_affinity_agreement_vs_python_opentsne.csv"
"MNIST","Python openTSNE exact affinity","success",1,0.999999961669134,0.85203945506073,0.999961905957052,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cuda/20260727_091326_1118073/tsne_affinity_agreement_vs_python_opentsne.csv"
"Macosko2015_retina","Python openTSNE exact affinity","success",1,0.999964313410694,0.991653059199226,0.998836302662543,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260727_073247_1118048/tsne_affinity_agreement_vs_python_opentsne.csv"
"Macosko2015_retina","Python openTSNE exact affinity","success",1,0.999964313410694,0.991653059199226,0.998836302662543,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/tsne_affinity_agreement_vs_python_opentsne.csv"
"Macosko2015_retina","Python openTSNE exact affinity","success",1,0.999964313410694,0.991653059199226,0.998836302662543,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cuda/20260727_090725_1118070/tsne_affinity_agreement_vs_python_opentsne.csv"
"MetRef","Python openTSNE exact affinity","success",1,0.99996314166444,0.989500304798113,0.99886995975392,873,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu1/20260727_073247_1118050/tsne_affinity_agreement_vs_python_opentsne.csv"
"MetRef","Python openTSNE exact affinity","success",1,0.99996314166444,0.989500304798113,0.99886995975392,873,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/tsne_affinity_agreement_vs_python_opentsne.csv"
"MetRef","Python openTSNE exact affinity","success",1,0.99996314166444,0.989500304798113,0.99886995975392,873,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/tsne_affinity_agreement_vs_python_opentsne.csv"
"TabulaMuris","Python openTSNE exact affinity","success",1,0.999961421584905,0.99921545366272,0.998783002178777,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu1/20260727_073247_1118052/tsne_affinity_agreement_vs_python_opentsne.csv"
"TabulaMuris","Python openTSNE exact affinity","success",1,0.999961421584905,0.99921545366272,0.998783002178777,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/tsne_affinity_agreement_vs_python_opentsne.csv"
"TabulaMuris","Python openTSNE exact affinity","success",1,0.999961421584905,0.99921545366272,0.998783002178777,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cuda/20260727_093420_1118074/tsne_affinity_agreement_vs_python_opentsne.csv"
"USPS","Python openTSNE exact affinity","success",0.998878163928296,0.996517180090065,0.819941697082789,0.999275765811679,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu1/20260727_073247_1118053/tsne_affinity_agreement_vs_python_opentsne.csv"
"USPS","Python openTSNE exact affinity","success",0.99901832460733,0.996320625011742,0.819774571697135,0.999242230179724,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/tsne_affinity_agreement_vs_python_opentsne.csv"
"USPS","Python openTSNE exact affinity","success",0.998878163928296,0.996517180090065,0.819941697082789,0.999275765811679,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cuda/20260727_093710_1118075/tsne_affinity_agreement_vs_python_opentsne.csv"
"flow18","Python openTSNE exact affinity","success",1,0.999964807264136,0.998379584792764,0.998805601108194,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu1/20260727_073247_1118045/tsne_affinity_agreement_vs_python_opentsne.csv"
"flow18","Python openTSNE exact affinity","success",1,0.999964807264136,0.998379584792764,0.998805601108194,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260727_073247_1118056/tsne_affinity_agreement_vs_python_opentsne.csv"
"flow18","Python openTSNE exact affinity","success",1,0.999964807264136,0.998379584792764,0.998805601108194,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cuda/20260727_090233_1118067/tsne_affinity_agreement_vs_python_opentsne.csv"
"imagenet","Python openTSNE exact affinity","success",1,0.999992841146946,0.743759835256229,0.999845122889852,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cuda/20260727_073247_1118069/tsne_affinity_agreement_vs_python_opentsne.csv"
"mass41","Python openTSNE exact affinity","success",1,0.999966070811677,0.998463380317083,0.998833644246059,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu1/20260727_073247_1118049/tsne_affinity_agreement_vs_python_opentsne.csv"
"mass41","Python openTSNE exact affinity","success",1,0.999966070811677,0.998463380317083,0.998833644246059,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/tsne_affinity_agreement_vs_python_opentsne.csv"
"mass41","Python openTSNE exact affinity","success",1,0.999966070811677,0.998463380317083,0.998833644246059,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cuda/20260727_090955_1118071/tsne_affinity_agreement_vs_python_opentsne.csv"
