"dataset","family","method","source","available"
"COIL20","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_Rtsne_full_threads4_seed4.png",TRUE
"COIL20","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"COIL20","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"COIL20","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cuda/20260727_073247_1118065/plots/COIL20_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"COIL20","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/plots/COIL20_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"COIL20","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cuda/20260727_073247_1118065/plots/COIL20_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"COIL20","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_umap_package_threads4_seed4.png",TRUE
"COIL20","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_uwot_default_threads4_seed4.png",TRUE
"COIL20","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_uwot_fast_sgd_threads4_seed4.png",TRUE
"COIL20","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"COIL20","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260727_073247_1118054/plots/COIL20_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"COIL20","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cuda/20260727_073247_1118065/plots/COIL20_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"COIL20","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cuda/20260727_073247_1118065/plots/COIL20_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"COIL20","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/plots/COIL20_python_umap_learn_threads4_seed4.png",TRUE
"COIL20","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cuda/20260727_073247_1118065/plots/COIL20_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"USPS","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_Rtsne_full_threads4_seed4.png",TRUE
"USPS","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"USPS","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"USPS","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cuda/20260727_093710_1118075/plots/USPS_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"USPS","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/python/cpu4/20260721_084502_1071221/seed_4/plots/USPS_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"USPS","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cuda/20260727_093710_1118075/plots/USPS_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"USPS","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_umap_package_threads4_seed4.png",TRUE
"USPS","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_uwot_default_threads4_seed4.png",TRUE
"USPS","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_uwot_fast_sgd_threads4_seed4.png",TRUE
"USPS","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"USPS","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260727_073247_1118064/plots/USPS_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"USPS","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cuda/20260727_093710_1118075/plots/USPS_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"USPS","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cuda/20260727_093710_1118075/plots/USPS_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"USPS","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/python/cpu4/20260721_084502_1071221/seed_4/plots/USPS_python_umap_learn_threads4_seed4.png",TRUE
"USPS","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cuda/20260727_093710_1118075/plots/USPS_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"FashionMNIST","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_Rtsne_full_threads4_seed4.png",TRUE
"FashionMNIST","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260727_073247_1118055/plots/FashionMNIST_KlugerLab_FItSNE_threads4_seed4.png",TRUE
