"method","family","backend","neighborhood","iterations_or_epochs","early_exaggeration","learning_rate","initialization","distance_metric","thread_or_device","knn_precomputed","knn_source","timing_scope","runtime_measure"
"fastEmbedR_tsne_cpu_full","t-SNE","cpu","perplexity=30;k=30","250 early + 500 normal","12 for 250 iterations","n/12","native randomized PCA, 2 components","euclidean","4 CPU threads","no","package-native HNSW, target recall 0.99","r_public_function_total_call","r_public_function_total_call_sec"
"fastEmbedR_tsne_cuda_full","t-SNE","cuda","perplexity=30;k=30","250 early + 500 normal","12 for 250 iterations","n/12","RAFT TSVD PCA, 2 components","euclidean","1 CUDA device","no","package-native CUDA exact/recall-tuned IVF-Flat auto route, target recall 0.99","r_public_function_total_call","r_public_function_total_call_sec"
"Rtsne_full","t-SNE","cpu","perplexity=30","750","12 for first 250 iterations","eta=200","PCA preprocessing to 50 dimensions; random 2-D layout","euclidean","4 CPU threads","no","Rtsne internal VP-tree","r_public_function_total_call","r_public_function_total_call_sec"
"KlugerLab_FItSNE","t-SNE","cpu","perplexity=30","750","12 for first 250 iterations","automatic","PCA","euclidean","4 CPU threads","no","Annoy, 50 trees, default search_k","r_public_function_total_call","r_public_function_total_call_sec"
"python_opentsne_fft","t-SNE","cpu","perplexity=30","250 early + 500 normal","Python openTSNE default","Python openTSNE automatic/default","Python openTSNE PCA","euclidean","4 CPU threads","no","Python openTSNE internal affinity/search","r_mediated_total_call","r_mediated_total_call_sec"
"python_opentsne_fft_direct","t-SNE","cpu","perplexity=30","250 early + 500 normal","Python openTSNE default","Python openTSNE automatic/default","Python openTSNE PCA","euclidean","4 CPU threads","no","Python openTSNE internal affinity/search","direct_python_fit","direct_python_fit_sec"
"rapids_cuml_tsne_full","t-SNE","cuda","perplexity=30;internal neighbors>=91 where supported","RAPIDS cuML defaults","RAPIDS cuML default","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU affinities","r_mediated_total_call","r_mediated_total_call_sec"
"rapids_cuml_tsne_full_direct","t-SNE","cuda","perplexity=30;internal neighbors>=91 where supported","RAPIDS cuML defaults","RAPIDS cuML default","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU affinities","direct_python_fit","direct_python_fit_sec"
"fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","4 CPU threads","no","package-native HNSW, target recall 0.99","r_public_function_total_call","r_public_function_total_call_sec"
"fastEmbedR_umap_cpu_binary_full","UMAP","cpu","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","4 CPU threads","no","package-native HNSW, target recall 0.99","r_public_function_total_call","r_public_function_total_call_sec"
"fastEmbedR_umap_cuda_fuzzy_full","UMAP","cuda","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","1 CUDA device","no","package-native CUDA exact/recall-tuned IVF-Flat auto route, target recall 0.99","r_public_function_total_call","r_public_function_total_call_sec"
"fastEmbedR_umap_cuda_binary_full","UMAP","cuda","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","1 CUDA device","no","package-native CUDA exact/recall-tuned IVF-Flat auto route, target recall 0.99","r_public_function_total_call","r_public_function_total_call_sec"
"umap_package","UMAP","cpu","k=30","umap package defaults","not used","umap package default","spectral","euclidean","4 CPU threads","no","umap package internal","r_public_function_total_call","r_public_function_total_call_sec"
"uwot_default","UMAP","cpu","k=30","500 if n<=10000;200 otherwise","not used","1","spectral","euclidean","4 KNN + 4 SGD threads","no","uwot automatic internal search","r_public_function_total_call","r_public_function_total_call_sec"
"uwot_fast_sgd","UMAP","cpu","k=30","500 if n<=10000;200 otherwise","not used","1","spectral","euclidean","4 KNN + 4 SGD threads","no","uwot automatic internal search","r_public_function_total_call","r_public_function_total_call_sec"
"python_umap_learn","UMAP","cpu","k=30","Python umap-learn defaults","not used","Python umap-learn default","Python umap-learn default","euclidean","4 CPU threads","no","Python umap-learn internal approximate search","r_mediated_total_call","r_mediated_total_call_sec"
"python_umap_learn_direct","UMAP","cpu","k=30","Python umap-learn defaults","not used","Python umap-learn default","Python umap-learn default","euclidean","4 CPU threads","no","Python umap-learn internal approximate search","direct_python_fit","direct_python_fit_sec"
"rapids_cuml_umap_full","UMAP","cuda","k=30","RAPIDS cuML defaults","not used","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU graph construction","r_mediated_total_call","r_mediated_total_call_sec"
"rapids_cuml_umap_full_direct","UMAP","cuda","k=30","RAPIDS cuML defaults","not used","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU graph construction","direct_python_fit","direct_python_fit_sec"
