"dataset","dataset_label","method","display_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3"
"COIL20","COIL-20","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,6.566,6.547,6.695
"COIL20","COIL-20","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,6.255,6.2355,6.3765
"COIL20","COIL-20","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,20.974,20.8005,21.005
"COIL20","COIL-20","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,19.3118180399761,18.3453930753749,19.388034429634
"COIL20","COIL-20","umap_package","umap [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,33.924,33.8155,34.025
"COIL20","COIL-20","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,20.011,19.9435,20.059
"COIL20","COIL-20","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,19.23,19.2135,19.25
"COIL20","COIL-20","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.588,0.585,0.6015
"COIL20","COIL-20","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.59,0.5885,0.6165
"COIL20","COIL-20","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,3.358,3.348,3.401
"COIL20","COIL-20","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.86406767833978,1.86252010241151,1.86959386244417
"FashionMNIST","Fashion-MNIST","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,64.648,64.4735,65.095
"FashionMNIST","Fashion-MNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,31.865,31.829,31.88
